Cowhide - Round - 8ft round - Chocolate,0006CHC296,Motor Head|Round|8ft round|Southwest,Add a touch of Western charm to any room. No cows were harmed in the making of this handsome faux cow rug.  MADE IN AMERICA!,,,,,8ft round,,1,$294.00,,,,,1,Dakota400,Dakota160,Cow Hide- chocolate 8FT round.jpg,Cow Hide- chocolate 8FT round.jpg,100% EnduraStran tm Nylon,,Dakota800,Cow Hide- chocolate 8FT round.jpg,,,,,
Hill Country - Rectangle - 4x5 - Red,0009RED200,Cabin|Rectangle|4x5|Rustic,Create some western charm in any room with this Texas Classic area rug.  Made in the USA.,,,,,4x5,,1,$76.00 ,,,,,1,Dakota400,Dakota160,Hill Country- red 5x8.jpg,Hill Country- red 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Hill Country- red 5x8.jpg,,,,,
Hill Country - Rectangle - 5x8 - Red,0009RED201,Cabin|Rectangle|5x8|Rustic,Create some western charm in any room with this Texas Classic area rug.  Made in the USA.,,,,,5x8,,1,$150.00 ,,,,,1,Dakota400,Dakota160,Hill Country- red 5x8.jpg,Hill Country- red 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Hill Country- red 5x8.jpg,,,,,
Hill Country - Rectangle - 8x11 - Red,0009RED202,Cabin|Rectangle|8x11|Rustic,Create some western charm in any room with this Texas Classic area rug.  Made in the USA.,,,,,8x11,,1,$294.00 ,,,,,1,Dakota400,Dakota160,Hill Country- red 5x8.jpg,Hill Country- red 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Hill Country- red 5x8.jpg,,,,,
Hill Country - Runner - 2x8 - Red,0009RED217,Cabin|Runner|2x8|Rustic,Create some western charm in any room with this Texas Classic area rug.  Made in the USA.,,,,,2x8,,1,$80.00 ,,,,,1,Dakota400,Dakota160,Hill Country- red 2x8.jpg,Hill Country- red 2x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Hill Country- red 2x8.jpg,,,,,
Hill Country - Scatter - 3x4 - Red,0009RED234,Cabin|Scatter|3x4|Rustic,Create some western charm in any room with this Texas Classic area rug.  Made in the USA.,,,,,3x4,,1,$49.00 ,,,,,1,Dakota400,Dakota160,Hill Country- red 5x8.jpg,Hill Country- red 5x8.jpg,100% EnduraStran tm Nylon,,Dakota800,Hill Country- red 5x8.jpg,,,,,
Hill Country - Round - 8ft round - Red,0009RED296,Cabin|Round|8ft round|Rustic,Create some western charm in any room with this Texas Classic area rug.  Made in the USA.,,,,,8ft round,,1,$294.00 ,,,,,1,Dakota400,Dakota160,Hill Country- red 8ft round.jpg,Hill Country- red 8ft round.jpg,100% EnduraStran tm Nylon,,Dakota800,Hill Country- red 8ft round.jpg,,,,,
High Rez - Rectangle - 4x5 - Earth,0010EAR200,Voices|Rectangle|4x5|Rustic,Inspired by historical rugs. Timeless appeal.  Western enough for a cabin or adobe dwelling and modern enough for a home in the city.  ,,,,,4x5,,1,$76.00,,,,,1,Dakota400,Dakota160,High Rez- earth 5X8.jpg,High Rez- earth 5X8.jpg,100% EnduraStran tm Nylon,,Dakota800,High Rez- earth 5X8.jpg,,,,,
High Rez - Rectangle - 5x8 - Earth,0010EAR201,Voices|Rectangle|5x8|Rustic,Inspired by historical rugs. Timeless appeal.  Western enough for a cabin or adobe dwelling and modern enough for a home in the city.  ,,,,,5x8,,1,$150.00,,,,,1,Dakota400,Dakota160,High Rez- earth 5X8.jpg,High Rez- earth 5X8.jpg,100% EnduraStran tm Nylon,,Dakota800,High Rez- earth 5X8.jpg,,,,,
High Rez - Rectangle - 8x11 - Earth,0010EAR202,Voices|Rectangle|8x11|Rustic,Inspired by historical rugs. Timeless appeal.  Western enough for a cabin or adobe dwelling and modern enough for a home in the city.  ,,,,,8x11,,1,$294.00,,,,,1,Dakota400,Dakota160,High Rez- earth 5X8.jpg,High Rez- earth 5X8.jpg,100% EnduraStran tm Nylon,,Dakota800,High Rez- earth 5X8.jpg,,,,,
High Rez - Runner - 2x8 - Earth,0010EAR217,Voices|Runner|2x8|Rustic,Inspired by historical rugs. Timeless appeal.  Western enough for a cabin or adobe dwelling and modern enough for a home in the city.  ,,,,,2x8,,1,$80.00,,,,,1,Dakota400,Dakota160,High Rez- earth 2X8.jpg,High Rez- earth 2X8.jpg,100% EnduraStran tm Nylon,,Dakota800,High Rez- earth 2X8.jpg,,,,,
High Rez - Scatter - 3x4 - Earth,0010EAR234,Voices|Scatter|3x4|Rustic,Inspired by historical rugs. Timeless appeal.  Western enough for a cabin or adobe dwelling and modern enough for a home in the city.  ,,,,,3x4,,1,$49.00,,,,,1,Dakota400,Dakota160,High Rez- earth 3x4.jpg,High Rez- earth 3x4.jpg,100% EnduraStran tm Nylon,,Dakota800,High Rez- earth 3x4.jpg,,,,,
High Rez - Round - 8ft round - Earth,0010EAR296,Voices|Round|8ft round|Rustic,Inspired by historical rugs. Timeless appeal.  Western enough for a cabin or adobe dwelling and modern enough for a home in the city.  ,,,,,8ft round,,1,$294.00,,,,,1,Dakota400,Dakota160,High Rez- earth 8FT.jpg,High Rez- earth 8FT.jpg,100% EnduraStran tm Nylon,,Dakota800,High Rez- earth 8FT.jpg,,,,,
Big Chief2 - Rectangle - 4x5 - Blue,0011BLU200,Voices|Rectangle|4x5|Rustic,The spirit of this rug is steeped in Southwest history.  Made from “pure-blue” dyes.  MADE IN AMERICA!,,,,,4x5,,1,$76.00,,,,,1,Dakota400,Dakota160,Big Chief2- blue 5X8.jpg,Big Chief2- blue 5X8.jpg,100% EnduraStran tm Nylon,,Dakota800,Big Chief2- blue 5X8.jpg,,,,,
Big Chief2 - Rectangle - 5x8 - Blue,0011BLU201,Voices|Rectangle|5x8|Rustic,The spirit of this rug is steeped in Southwest history.  Made from “pure-blue” dyes.  MADE IN AMERICA!,,,,,5x8,,1,$150.00,,,,,1,Dakota400,Dakota160,Big Chief2- blue 5X8.jpg,Big Chief2- blue 5X8.jpg,100% EnduraStran tm Nylon,,Dakota800,Big Chief2- blue 5X8.jpg,,,,,
Big Chief2 - Rectangle - 8x11 - Blue,0011BLU202,Voices|Rectangle|8x11|Rustic,The spirit of this rug is steeped in Southwest history.  Made from “pure-blue” dyes.  MADE IN AMERICA!,,,,,8x11,,1,$294.00,,,,,1,Dakota400,Dakota160,Big Chief2- blue 5X8.jpg,Big Chief2- blue 5X8.jpg,100% EnduraStran tm Nylon,,Dakota800,Big Chief2- blue 5X8.jpg,,,,,
Big Chief2 - Runner - 2x8 - Blue,0011BLU217,Voices|Runner|2x8|Rustic,The spirit of this rug is steeped in Southwest history.  Made from “pure-blue” dyes.  MADE IN AMERICA!,,,,,2x8,,1,$80.00,,,,,1,Dakota400,Dakota160,Big Chief2- blue 2X8.jpg,Big Chief2- blue 2X8.jpg,100% EnduraStran tm Nylon,,Dakota800,Big Chief2- blue 2X8.jpg,,,,,
Big Chief2 - Scatter - 3x4 - Blue,0011BLU234,Voices|Scatter|3x4|Rustic,The spirit of this rug is steeped in Southwest history.  Made from “pure-blue” dyes.  MADE IN AMERICA!,,,,,3x4,,1,$49.00,,,,,1,Dakota400,Dakota160,Big Chief2- blue 3X4.jpg,Big Chief2- blue 3X4.jpg,100% EnduraStran tm Nylon,,Dakota800,Big Chief2- blue 3X4.jpg,,,,,
Big Chief2 - Round - 8ft round - Blue,0011BLU296,Voices|Round|8ft round|Rustic,The spirit of this rug is steeped in Southwest history.  Made from “pure-blue” dyes.  MADE IN AMERICA!,,,,,8ft round,,1,$294.00,,,,,1,Dakota400,Dakota160,Big Chief2- blue 8FT.jpg,Big Chief2- blue 8FT.jpg,100% EnduraStran tm Nylon,,Dakota800,Big Chief2- blue 8FT.jpg,,,,,
Big Chief - Rectangle - 4x5 - Red,0012RED200,Voices|Rectangle|4x5|Rustic,Historical cues makes this rug a timeless floor cloth.  Available in 6 sizes.  MADE IN AMERICA!,,,,,4x5,,1,$76.00,,,,,1,Dakota400,Dakota160,Big Chief- red 5X8.jpg,Big Chief- red 5X8.jpg,100% EnduraStran tm Nylon,,Dakota800,Big Chief- red 5X8.jpg,,,,,
Big Chief - Rectangle - 5x8 - Red,0012RED201,Voices|Rectangle|5x8|Rustic,Historical cues makes this rug a timeless floor cloth.  Available in 6 sizes.  MADE IN AMERICA!,,,,,5x8,,1,$150.00,,,,,1,Dakota400,Dakota160,Big Chief- red 5X8.jpg,Big Chief- red 5X8.jpg,100% EnduraStran tm Nylon,,Dakota800,Big Chief- red 5X8.jpg,,,,,
