Product Name,Item Number,Store Categories,Detailed Product Description,Product Summary Overview,Size,minimum_quantity,Unit Price,minimum_quantityP2,tier_2_price,minimum_quantityP3,tier_3_price,multiple_of,Product Images,Quantity,MSRP,Sale Price,Ship Days,Is Active,Brand,Categories,Variations,Section,Sku,isImageAvailable,,
ACG Lg Mason Jar-Yellow Ceramic Planter,CHD232,(All) ACG View|ACG Giftware,"Mason Jar Planters Dimensions: 9""W x 12.875""H x 9""D",,,2,25,,,,,2,chd232-yellow-mason.jpg,1,50,,4,1,A Cheerful Giver,Garden & Outdoor-Planters & Boxes,,Outdoor Home-Planters,67462303232-0,1,,
ACG Lg Mason Jar-Green Ceramic Planter,CHD233,(All) ACG View|ACG Giftware,"Mason Jar Planters Dimensions: 9""W x 12.875""H x 9""D",,,2,25,,,,,2,chd233-green-mason.jpg,1,50,,4,1,A Cheerful Giver,Garden & Outdoor-Planters & Boxes,,Outdoor Home-Planters,67462303233-7,1,,
ACG Lg Mason Jar-White Ceramic Planter,CHD234,(All) ACG View|ACG Giftware,"Mason Jar Planters Dimensions: 9""W x 12.875""H x 9""D",,,2,25,,,,,2,chd234-white-mason.jpg,1,50,,4,1,A Cheerful Giver,Garden & Outdoor-Planters & Boxes,,Outdoor Home-Planters,67462303234-4,1,,
CARROT SEE-SAW- LARGE,CHD244,(All) ACG View|ACG Giftware,,,"8""ùW x 7.25""ùH x 3.75""ùD",2,9.75,,,,,2,CHD244-See-Saw-LG.jpg,1,19.5,,4,1,A Cheerful Giver,Spring & Easter-Chicks & Bunnies,,Home Decor,67462303244-3,1,,
SWINGING BUNNY- LARGE,CHD245,(All) ACG View|ACG Giftware,,,"4.375""ùW x 7""ùH x 3""ùD",2,9.75,,,,,2,CHD245-Swinging-Bunny-LG.jpg,1,19.5,,4,1,A Cheerful Giver,Spring & Easter-Chicks & Bunnies,,Home Decor,67462303245-0,1,,
LAZY DAY,CHD246,(All) ACG View|ACG Giftware,,,"8""ùW x 4.75""ùH x 2.5""ùD",2,10,,,,,2,CHD246-Lazy-Day.jpg,1,20,,4,1,A Cheerful Giver,Spring & Easter-Chicks & Bunnies,,Home Decor,67462303246-7,1,,
SPEEDY BUNNY ,CHD247,(All) ACG View|ACG Giftware,,,"7""ùW x 4""ùH x 2.125""ùD",2,8.25,,,,,2,CHD247-Speedy-Bunny.jpg,1,16.5,,4,1,A Cheerful Giver,Spring & Easter-Chicks & Bunnies,,Home Decor,67462303247-4,1,,
CARROT HOP- SMALL ,CHD248,(All) ACG View|ACG Giftware,,,"1.75""ùW x 4.875""ùH x 1.75""ùD",4,4,,,,,4,CHD248-Carrott-Hop-SM.jpg,1,8,,4,1,A Cheerful Giver,Spring & Easter-Chicks & Bunnies,,Home Decor,67462303248-1,1,,
RESTING BUNNY- SMALL ,CHD249,(All) ACG View|ACG Giftware,,,"4.5""ùW x 2.375""ùH x 1""ùD",4,4,,,,,4,CHD249-Resting-Bunny-SM.jpg,1,8,,4,1,A Cheerful Giver,Spring & Easter-Chicks & Bunnies,,Home Decor,67462303249-8,1,,
CARROT SEE-SAW- SMALL ,CHD250,(All) ACG View|ACG Giftware,,,,4,6,,,,,4,CHD250-See-Saw-SM.jpg,1,12,,4,1,A Cheerful Giver,Spring & Easter-Chicks & Bunnies,,Home Decor,67462303250-4,1,,
SWINGING BUNNY- SMALL ,CHD251,(All) ACG View|ACG Giftware,,,"2.5""ùW x 4.875""ùH x 1.9375""ùD",4,5,,,,,4,CHD251-Swinging-Bunny-SM.jpg,1,10,,4,1,A Cheerful Giver,Spring & Easter-Chicks & Bunnies,,Home Decor,67462303251-1,1,,
Red Truck/Balsam Fir ? ,CHD254,(All) ACG View|ACG Giftware,,,,2,9.5,,,,,2,CHD254-Gift-Set.jpg,1,19,,4,1,A Cheerful Giver,Christmas-Home DÈcor,,Home Decor,67462303254-2,1,,
AMERICANA KIDS- PATRIOTIC- GIRL,CHD259,(All) ACG View|ACG Giftware,,,"2""ùW x 4""ùH x 1.75""ùD",4,3.75,,,,,4,CHD259-Patriotic-Girl.jpg,1,7.5,,4,1,A Cheerful Giver,Americana-Home DÈcor,,Home Decor,67462303259-7,1,,
Willies Fresh Cut/Balsam Fir ? ,CHD260,(All) ACG View|ACG Giftware,,,,2,9.5,,,,,2,CHD260-Gift-Set.jpg,1,19,,4,1,A Cheerful Giver,Christmas-Snowmen,,Gifts-Candles,67462303260-3,1,,
Sledding Willie/Snow Day ? ,CHD261,(All) ACG View|ACG Giftware,,,,2,9.5,,,,,2,CHD261-Gift-Set.jpg,1,19,,4,1,A Cheerful Giver,Christmas-Snowmen,,Gifts-Candles,67462303261-0,1,,
CHEERFUL WILLIE LARGE FROSTY - TOP HAT,CHD289,(All) ACG View|ACG Giftware,,,,2,19.5,,,,,2,CHD289-Cheerful-Willie-Top-Hat-LG.jpg,1,39,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303289-4,1,,
SMALL FROSTY- TOP HAT,CHD290,(All) ACG View|ACG Giftware,,,,2,12.5,,,,,2,CHD290-Cheerful-Willie-Top-Hat-SM.jpg,1,25,,4,1,A Cheerful Giver,Christmas-Snowmen,,Home Decor,67462303290-0,1,,
