CUT GLASS STAR HURRICANE - FROST WITH GOLD STAR,6186-179,(All) HomArt Products|(Sale) September Markdowns|Glass Material,"Eight-point star shaped etchings decorate a frosted glass vessel. Charming and handcrafted, HomArt’s Cut Glass Star Hurricane offers a whimsical addition to any space.",In Stock,14.3,,,"length: 4.50 in
width: 4.50 in
height: 8 in
diameter: 4.50 in
cube: 0.00
weight: 1.80 lb
material: glass",,2,19,,,,,2,HomArt400,HomArt160,6186-179.jpg,6186-179.jpg,,,HomArt800,6186-179.jpg
MOSAIC GLASS HURRICANE - LRG - GOLD LUSTER,6198-192,(All) HomArt Products|(Sale) September Markdowns|Glass Material,"Small segments of semi translucent gold glass meld together to create a beautiful conversation piece. Illuminated by candlelight, the Mosaic Glass Hurricane shines bright for the holidays and throughout the year.",In stock,12,,,"length: 5 in
width: 5 in
height: 8 in
diameter: 5 in
cube: 0.00
weight: 1.40 lb
material: glass",,2,13,,,,,2,HomArt400,HomArt160,6198-192.jpg,6198-192.jpg,,,HomArt800,6198-192.jpg
BRAQUE SALT & PEPPER SHAKERS - WHITE,62031-6,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns,Inspiringly angular the Braque Salt & Pepper Shakers are handcrafted from black terra cotta then dipped in our signature white glaze for an aesthetic that dodges notions of prim and proper in favor of everyday elegance.,In stock,10,,,"length: 2.50 in
width: 4 in
height: 3 in
cube: 0.00 cbm
weight: 0.40 lb
material: ceramic",,4,11.5,16,9.25,,,4,HomArt400,HomArt160,62031-6.jpg,62031-6.jpg,,,HomArt800,62031-6.jpg
"TIBURON PLATE, CERAMIC - LIGHT GREY GLAZE",7138-0,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns,A layered glaze of umber and blue gives this ceramic plate a cozy mottled texture and foggy grey hue. Ideal for an afternoon coffee service.,In stock,2.4,,,"length: 5 in
width: 5 in
height: 0.50 in
weight: 0.30 lb
size (us): 5x5x0.5
material: ceramic",,6,3.25,,,,,6,HomArt400,HomArt160,7138-0.jpg,7138-0.jpg,,,HomArt800,7138-0.jpg
"SUCCULENT CANISTER, TALL - GREEN",7679-3,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns,Enjoy the ease of gardening by adorning your environment with these ceramic succulent canisters. Aside from the watercolor pallet there is no water required!,In stock,10.5,,,"length: 3.50 in
width: 3.50 in
height: 7.50 in
weight: 1.40 lb
material: ceramic",,4,14,,,,,4,HomArt400,HomArt160,7679-3.jpg,7679-3.jpg,,,HomArt800,7679-3.jpg
"CRAB SOAP DISH, CERAMIC - LRG - WHITE",7786-6,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns,A gloss white glaze brings a contemporary edge to this ceramic catcall. Sized for a 250 gram bar of soap but equally as functional for rings or coins.,In stock,9,,,"length: 7 in
width: 8.50 in
height: 2.50 in
cube: 0.00
weight: 1.60 lb
material: ceramic",,4,12,,,,,4,HomArt400,HomArt160,7786-6.jpg,7786-6.jpg,,,HomArt800,7786-6.jpg
HEXAGONAL IRON WALL VASE - DOUBLE,8781-0,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns|Urban,"The hexagon - natures most efficient and strongest shape - is given a dimensional life as a modular vase assemblage metamorphosed into wall art. Created of iron with an earthly matte metal finish, the Hexagon Wall Vase is offered in a perfectly mathematical range of 1, 2 or 3 hexagons and hangs simply on the wall via a keyhole hanger.",In stock,10,,,"length: 12 in
width: 2.50 in
height: 6 in
cube: 0.01
weight: 1.20 lb
material: iron",,2,13.25,8,9.25,,,2,HomArt400,HomArt160,8781-0.jpg,8781-0.jpg,,,HomArt800,8781-0.jpg
HEXAGONAL IRON WALL VASE - TRIPLE,8782-0,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns|Urban,"The hexagon - natures most efficient and strongest shape - is given a dimensional life as a modular vase assemblage metamorphosed into wall art. Created of iron with an earthly matte metal finish, the Hexagon Wall Vase is offered in a perfectly mathematical range of 1, 2 or 3 hexagons and hangs simply on the wall via a keyhole hanger.",Discontinued,14,,,"length: 16.50 in
width: 2.50 in
height: 9 in
cube: 0.01
weight: 1.80 lb
material: iron",,2,20,8,13,,,2,HomArt400,HomArt160,8782-0.jpg,8782-0.jpg,,,HomArt800,8782-0.jpg
"Beaded Tealight Holder, Glass, Gold",8990-4,(All) HomArt Products|(Sale) September Markdowns|Glass Material|Holiday Vintage,Glass encrusted in shimmering beads creates just enough peek-through to offer the subtle glow of candlelight.,In stock,5,,,2.5 x 2.5 x 2.5,,6,5.5,24,4.6,,,6,HomArt400,HomArt160,8990-4.jpg,8990-4.jpg,6.46964E+11,,HomArt800,8990-4.jpg
"Beaded Tealight Holder, Glass, Silver",8990-5,(All) HomArt Products|(Sale) September Markdowns|Glass Material|Holiday Vintage,Glass encrusted in shimmering beads creates just enough peek-through to offer the subtle glow of candlelight.,In stock,5,,,2.5 x 2.5 x 2.5,,6,5.5,24,4.6,,,6,HomArt400,HomArt160,8990-5.jpg,8990-5.jpg,6.46964E+11,,HomArt800,8990-5.jpg
"Beaded Tealight Holder, Glass, Red",8990-8,(All) HomArt Products|(Sale) September Markdowns|Glass Material|Holiday Vintage,Glass encrusted in shimmering beads creates just enough peek-through to offer the subtle glow of candlelight.,In stock,5,,,2.5 x 2.5 x 2.5,,6,5.5,24,4.6,,,6,HomArt400,HomArt160,8990-8.jpg,8990-8.jpg,6.46964E+11,,HomArt800,8990-8.jpg
SCANDINAVIAN STAG SITTING - EMBROIDERED WHITE,9424-22,(All) HomArt Products|(Sale) September Markdowns,Natural fiber forms are wrapped in embroidered white fabric creating an ethereal heard of stags.,In stock,48,,,"length: 25 in
width: 17 in
height: 16 in
cube: 0.00 cbm
weight: 5.25 lb
material: kantha fabric",,1,75,,,,,1,HomArt400,HomArt160,9424-22.jpg,9424-22.jpg,,,HomArt800,9424-22.jpg
FELT MERMAN ORNAMENT,95010-13,(All) HomArt Products|(Sale) September Markdowns,Underwater Mate for the holidays or anytime! HomArt's Merman Felt Ornament will bring out your inner mermaid.,In stock,3,,,"length: 4.50 in
width: 1 in
height: 4.50 in
cube: 0.00
weight: 0.01 lb
material: felt",,6,4.5,,,,,6,HomArt400,HomArt160,95010-13.jpg,95010-13.jpg,,,HomArt800,95010-13.jpg
"HULA MOUSE ORNAMENT, FELT - GREY & JUTE",9593-5,(All) HomArt Products|(Sale) September Markdowns,"This charming family of mice takes on personas and activities of their human-kind heroes. Each outfit is custom designed, each detail is unique. ",In stock,4.5,,,"length: 2.25 in
width: 2.25 in
height: 4.50 in
weight: 0.10 lb
size (us): 2.25x2.25x4.5
material: felt",,6,5.5,24,4,,,6,HomArt400,HomArt160,9593-5.jpg,9593-5.jpg,,,HomArt800,9593-5.jpg
"BOY LAMB ORNAMENT, FELT - MULTI",9595-0,(All) HomArt Products|(Sale) September Markdowns|Holiday Vintage,"Bringing coziness to the holiday tree, this animated lamb ornament is crafted of soft felt featuring the details of a bow tie and a smiling face.",In stock,5,,,"length: 3 in
width: 2.50 in
height: 5 in
weight: 0.10 lb
size (us): 3x2.5x5
material: felt",,6,5.5,24,4.5,,,6,HomArt400,HomArt160,9595-0.jpg,9595-0.jpg,,,HomArt800,9595-0.jpg
CLIVE CERAMIC CACHEPOT - SM - FANCY BEIGE,9680-54,(All) HomArt Products|(Home Decor) Top Sellers|(Sale) September Markdowns,"The petite feet, subtle suggestion of a nose and earthen glaze on our Clive Ceramic Cachepots creates a flirty air of green house whimsy.",In stock,8.3,,,"length: 5.50 in
width: 5.50 in
height: 6 in
cube: 0.00 cbm
weight: 1.80 lb
material: ceramic",,4,11,,,,,4,HomArt400,HomArt160,9680-54.jpg,9680-54.jpg,,,HomArt800,9680-54.jpg
"FELT SEQUIN ANGEL ORNAMENTS - SET OF 3 - TEAL, YELLOW, PALE PINK",98004-0,(All) HomArt Products|(Sale) September Markdowns|Holiday Vintage,"These charming angel ornaments are offered in teal, yellow and pale pink for a lovable set of three. Hand stitched from soft felt, each ornament features sequin detailing on wings.",In stock,6,,,"length: 2.50 in
width: 1 in
height: 6 in
cube: 0.00 cbm
weight: 0.50 lb
material: felt",,2,19.5,,,,,2,HomArt400,HomArt160,98004-0.jpg,98004-0.jpg,,,HomArt800,98004-0.jpg
PICNIC TOTE - 6 BOTTLE - PLAIN,9909-0,(All) HomArt Products|(Sale) September Markdowns,"Constructed from natural jute, HomArt’s Picnic Tote offers a handsome way to safely transport up to six bottles of your favorite wine. Jute handles provide ease while arriving in style to dinner parties and picnics in the park.",In stock,6,,,"length: 12 in
width: 8 in
height: 17 in
cube: 0.00
weight: 0.64 lb
material: jute",,10,6.75,40,5.5,,,10,HomArt400,HomArt160,9909-0.jpg,9909-0.jpg,,,HomArt800,9909-0.jpg
