Mustang Chronology,#1272,(ALL) TIN SIGNS|Automotive,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1272 MUSTANG Chronology.jpg,D1272 MUSTANG Chronology.jpg,,,desperate800,D1272 MUSTANG Chronology.jpg,
Farmall - Equip Used Here,#1278,(ALL) TIN SIGNS|Farm Equipment,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1278 Farmall Equip used here.jpg,D1278 Farmall Equip used here.jpg,,,desperate800,D1278 Farmall Equip used here.jpg,
IH Farm,#1279,(ALL) TIN SIGNS|Farm Equipment,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1279 IH Farm.jpg,D1279 IH Farm.jpg,,,desperate800,D1279 IH Farm.jpg,
Uncle Sam I Want You,#128,(ALL) TIN SIGNS|Military,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D128 Uncle Sam.jpg,D128 Uncle Sam.jpg,,,desperate800,D128 Uncle Sam.jpg,
Moore - Make me Wine,#1280,(ALL) TIN SIGNS|Humorous Signs,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1280 Schonberg - Make Me Wine.jpg,D1280 Schonberg - Make Me Wine.jpg,,,desperate800,D1280 Schonberg - Make Me Wine.jpg,
Budweiser - Clydesdales,#1281,(ALL) TIN SIGNS|Liquor & Tobacco,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1281 Budweiser Clydesdales.jpg,D1281 Budweiser Clydesdales.jpg,,,desperate800,D1281 Budweiser Clydesdales.jpg,
Budweiser - Weathered,#1283,(ALL) TIN SIGNS|Liquor & Tobacco,,,,,,"16""W x 8.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1283 Budweiser Weathered.jpg,D1283 Budweiser Weathered.jpg,,,desperate800,D1283 Budweiser Weathered.jpg,
Hang Ten - California Classic,#1284,(ALL) TIN SIGNS|Surfing,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1284 Hang Ten California Classic.jpg,D1284 Hang Ten California Classic.jpg,,,desperate800,D1284 Hang Ten California Classic.jpg,
Moore - Keep Out Matey,#1289,(ALL) TIN SIGNS|Humorous Signs,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1289 Moore - Keep Out.jpg,D1289 Moore - Keep Out.jpg,,,desperate800,D1289 Moore - Keep Out.jpg,
Moore - Free Beer,#1290,(ALL) TIN SIGNS|Humorous Signs,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1290 Moore - Free Beer.jpg,D1290 Moore - Free Beer.jpg,,,desperate800,D1290 Moore - Free Beer.jpg,
Moore - Eye of the Beerholder,#1297,(ALL) TIN SIGNS|Humorous Signs,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1297 Moore Eye of the Beerholder.jpg,D1297 Moore Eye of the Beerholder.jpg,,,desperate800,D1297 Moore Eye of the Beerholder.jpg,
Moore - Ladies Night,#1298,(ALL) TIN SIGNS|Humorous Signs,,,,,,"12.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1298 Moore Ladies Night.jpg,D1298 Moore Ladies Night.jpg,,,desperate800,D1298 Moore Ladies Night.jpg,
COKE - c.1916 Ice Cold,#1299,(ALL) TIN SIGNS|Food & Beverage,,,,,,"16""W x 12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1299 COKE c1916 Ice Cold.jpg,D1299 COKE c1916 Ice Cold.jpg,,,desperate800,D1299 COKE c1916 Ice Cold.jpg,
John Wayne Signature,#1300,(ALL) TIN SIGNS|Hollywood & TV,,,,,,"8.5""W x 16""H",,1,6.85,,,,,1,desperate400,desperate160,D1300 John Wayne Signature.jpg,D1300 John Wayne Signature.jpg,,,desperate800,D1300 John Wayne Signature.jpg,
Coors Label,#1309,|(ALL) TIN SIGNS|Liquor & Tobacco,,,,,,"16""Wx12.5""H",,1,6.85,,,,,1,desperate400,desperate160,b1309.jpg,b1309.jpg,,,desperate800,b1309.jpg,
Coors Waterfall,#1311,|(ALL) TIN SIGNS|Liquor & Tobacco,,,,,,"16""Wx12.5""H",,1,6.85,,,,,1,desperate400,desperate160,b1311.jpg,b1311.jpg,,,desperate800,b1311.jpg,
Mopar Logo '37 - '47,#1314,(ALL) TIN SIGNS|Automotive,,,,,,"11.75"" Dia.",,1,6.85,,,,,1,desperate400,desperate160,D1314 Mopar Logo 1937_1947.jpg,D1314 Mopar Logo 1937_1947.jpg,,,desperate800,D1314 Mopar Logo 1937_1947.jpg,
Mopar Logo '64 - '71,#1315,(ALL) TIN SIGNS|Automotive,,,,,,"16""Wx12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1315 Mopar Logo 1964_1971.jpg,D1315 Mopar Logo 1964_1971.jpg,,,desperate800,D1315 Mopar Logo 1964_1971.jpg,
Westmoreland - Surf Shack,#1318,(ALL) TIN SIGNS|Surfing,,,,,,"16""Wx12.5""H",,1,6.85,,,,,1,desperate400,desperate160,D1318 Westmoreland Surf Shack.jpg,D1318 Westmoreland Surf Shack.jpg,,,desperate800,D1318 Westmoreland Surf Shack.jpg,
