"2""X2.25"" RUSTIC PAIL W/HANDLE",T0242,(All) Craft Outlet Products View|Buckets & Pails|Decorative Tin|Ornaments|Winter Collection,"Small Rusty Pail is 2.25"" tall and has small handle. Perfect for any barnyard display. ",,,,,"2""L X 2""W X 2.75""H",,24,2.1,72,1.8,144,1.25,24,CraftOutlet400,CraftOutlet160,T0242.jpg,T0242.jpg,Tin,,CraftOutlet800,T0242.jpg
"10"" RUSTIC OIL LANTER",T0052,(All) Craft Outlet Products View|Decorative Tin,"Rusty Tin Oil lantern measures 10"" tall and has a moving wick inside of glass orb. Fully functional or could be used as a display. ",,,,,"4.5""L X 6""W X 10""H",,4,13.15,12,11.2,,,4,CraftOutlet400,CraftOutlet160,T0052.jpg,T0052.jpg,Tin,,CraftOutlet800,T0052.jpg
"  6"" RUSTIC STAR W/HANGER",T0074,(All) Craft Outlet Products View|Decorative Tin,DECORATIVE RUSTIC TIN STAR WITH HANGER. STANDS AT 6'' TALL.,,,,,"6""L X 1""W X 6""H",,12,1.5,48,1.25,,,12,CraftOutlet400,CraftOutlet160,T0074.jpg,T0074.jpg,,,CraftOutlet800,T0074.jpg
"4.5"" SILVER COUNTRY STAR",T0080,(All) Craft Outlet Products View|Decorative Tin,"DECORATIVE 4.5"" SILVER COUNTRY STAR.",,,,,"2.75""L X 1""W X 4.5""H",,12,1.5,72,1.25,,,12,CraftOutlet400,CraftOutlet160,T0080.jpg,T0080.jpg,,,CraftOutlet800,T0080.jpg
"S/4 6"" RUSTIC MINI TOOLS",T0063,|(All) Craft Outlet Products View|Decorative Tin,"This set of 4 rustic mini tools are 6"" tall and are sold as a set. Perfect for any farm display. ",,,,,"2""L X 1""W X 7""H",,12,3,36,2.55,,,12,CraftOutlet400,CraftOutlet160,T0063.jpg,T0063.jpg,Tin,,CraftOutlet800,T0063.jpg
"4.5"" RUSTIC STAR HANGER",T0064,|(All) Craft Outlet Products View|Decorative Tin,"4.5"" RUSTIC STAR HANGER",,,,,"3.5""L X 1""W X 4.5""H",,24,1.15,96,0.95,,,24,CraftOutlet400,CraftOutlet160,T0064.jpg,T0064.jpg,Tin,,CraftOutlet800,T0064.jpg
"5.25"" RUSTIC HEART HANGER",T0065,|(All) Craft Outlet Products View|Decorative Tin,"5.25"" Rusty Heart Hanger has a small hook to hang from. ",,,,,"4""L X 1""W X 5.25""H",,24,1.15,96,0.95,,,24,CraftOutlet400,CraftOutlet160,T0065.jpg,T0065.jpg,Tin,,CraftOutlet800,T0065.jpg
"2""  RUSTIC STAR W/HANGER",T0096,(All) Craft Outlet Products View|Decorative Tin|Ornaments|Winter Collection,"2"" RUSTIC STAR W/ HANGER",,,,,"2.5""L X 1""W X 2.5""H",,24,1.15,96,0.95,,,24,CraftOutlet400,CraftOutlet160,T0096.jpg,T0096.jpg,Tin,,CraftOutlet800,T0096.jpg
"3"" COUNTRY STAR W/HANGER",T0099,(All) Craft Outlet Products View|Decorative Tin|Ornaments|Winter Collection,"3"" COUNTRY STAR W/ HANGER",,,,,"2.5""L X 1""W X 3.5""H",,24,1.5,96,1.3,,,24,CraftOutlet400,CraftOutlet160,T0099.jpg,T0099.jpg,Tin,,CraftOutlet800,T0099.jpg
"4"" RUSTIC COUNTRY STAR W/HANGER",T0100,(All) Craft Outlet Products View|Decorative Tin|Ornaments|Winter Collection,"4"" RUSTIC COUNTRY STAR W/ HANGER",,,,,"3""L X 1""W X 4.5""H",,24,1.65,96,1.35,,,24,CraftOutlet400,CraftOutlet160,T0100.jpg,T0100.jpg,Tin,,CraftOutlet800,T0100.jpg
