"4.25X4.25X14.5""H METAL 3-JINGLE BELL STRING ANTIQUE TIN BELL /RED BOW 6/24 EA LIST PRICE: $10.50 EA $10.50 MIN 6 EA $9.45 MIN 12 EA $8.40 MIN 24 EA",CNG311,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$10.50 ,12,$9.45 ,24,$8.40 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNG311.JPG,CNG311.JPG,6.09016E+11,,DCI800,CNG311.JPG
"4.25X4.25X14.5""H METAL 3-JINGLE BELL STRING RED BELL/WHITE BOW 6/24 EA LIST PRICE: $10.50 EA $10.50 MIN 6 EA $9.45 MIN 12 EA $8.40 MIN 24 EA",CNG312,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$10.50 ,12,$9.45 ,24,$8.40 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNG312.JPG,CNG312.JPG,6.09016E+11,,DCI800,CNG312.JPG
"17.75X11X7""H METAL MERRY CHRISTMAS OVAL BUCKET RED/WHITE 0/6 EA LIST PRICE: $15.25 EA $15.25 MIN 4 EA $13.73 MIN 8 EA $12.20 MIN 16 EA",CNR654,Back to A Holly Jolly Christmas,,Out of Stock,,,,,,4,$15.25 ,8,$13.73 ,16,$12.20 ,4,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNR654.JPG,CNR654.JPG,6.09017E+11,,DCI800,CNR654.JPG
"13.5X8.75X6.5""H METAL HOLLY JOLLY TREE OVAL BUCKET GREEN/WHITE 0/8 EA LIST PRICE: $11.75 EA $11.75 MIN 4 EA $10.58 MIN 8 EA $9.40 MIN 16 EA",CNR655,Back to A Holly Jolly Christmas,,Out of Stock,,,,,,4,$11.75 ,8,$10.58 ,16,$9.40 ,4,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNR655.JPG,CNR655.JPG,6.09017E+11,,DCI800,CNR655.JPG
"8X6.75X15.25""H METAL LETTERS TO SANTA POST BOX 0/4 EA LIST PRICE: $27.25 EA $27.25 MIN 2 EA $24.53 MIN 4 EA $21.80 MIN 8 EA",CNR677,Back to A Holly Jolly Christmas,,In Stock,,,,,,2,$27.25 ,4,$24.53 ,8,$21.80 ,2,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNR677.JPG,CNR677.JPG,6.09017E+11,,DCI800,CNR677.JPG
"5-8""H RED ENAMEL FINISH BELL/FINIAL/ONION/STOCKING 4 ASST ORNAMENT 24/96 EA LIST PRICE: $3.25 EA $3.25 MIN 24 EA $2.93 MIN 48 EA $2.60 MIN 96 EA",CNR680,Back to A Holly Jolly Christmas,,In Stock,,,,,,24,$3.25 ,48,$2.93 ,96,$2.60 ,24,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNR680.JPG,CNR680.JPG,6.09017E+11,,DCI800,CNR680.JPG
"5-8""H WHITE ENAMEL FINISH BELL/FINIAL/ONION/STOCKING 4 ASST ORNAMENT 24/96 EA LIST PRICE: $3.95 EA $3.95 MIN 24 EA $3.56 MIN 48 EA $3.16 MIN 96 EA",CNR681,Back to A Holly Jolly Christmas,,In Stock,,,,,,24,$3.95 ,48,$3.56 ,96,$3.16 ,24,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNR681.JPG,CNR681.JPG,6.09017E+11,,DCI800,CNR681.JPG
"5X4.25X4""H ENAMEL CHRISTMAS SAYING MUG 4 ASST 18/36 EA LIST PRICE: $6.25 EA $6.25 MIN 12 EA $5.63 MIN 24 EA $5.00 MIN 72 EA",CNR689,Back to A Holly Jolly Christmas,,In Stock,,,,,,12,$6.25 ,24,$5.63 ,72,$5.00 ,12,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNR689.JPG,CNR689.JPG,6.09017E+11,,DCI800,CNR689.JPG
"4.25X4.25X11""H RED/WHITE ENAMEL OVAL DISC PILLAR CANDLE HOLDER 0/6 EA LIST PRICE: $9.75 EA $9.75 MIN 6 EA $8.78 MIN 12 EA $7.80 MIN 24 EA",CNR692,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$9.75 ,12,$8.78 ,24,$7.80 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNR692.JPG,CNR692.JPG,6.09017E+11,,DCI800,CNR692.JPG
"4.25X4.25X13.5""H RED/WHITE ENAMEL OVAL DISC PILLAR CANDLE HOLDER 0/6 EA LIST PRICE: $10.75 EA $10.75 MIN 6 EA $9.68 MIN 12 EA $8.60 MIN 24 EA",CNR693,Back to A Holly Jolly Christmas,,In Stock,,,,,,6,$10.75 ,12,$9.68 ,24,$8.60 ,6,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNR693.JPG,CNR693.JPG,6.09017E+11,,DCI800,CNR693.JPG
"11.25X5.5X16.75""H METAL SANTA PLEASE STOP HERE POST BOX 0/4 EA LIST PRICE: $23.75 EA $23.75 MIN 2 EA $21.38 MIN 4 EA $19.00 MIN 8 EA",CNR695,Back to A Holly Jolly Christmas,,In Stock,,,,,,2,$23.75 ,4,$21.38 ,8,$19.00 ,2,DCI400,DCI160,https://shopdci.com/images/products/detail/desktop/CNR695.JPG,CNR695.JPG,6.09017E+11,,DCI800,CNR695.JPG
