Shawl - Blue Leopard,c-sh-g01bl,Shawls|||||||||,100% Polyester.,,,,1,,1,12,,0,,0,1,c-sh-g01bl-WEB.jpg
Shawl - Chevron Design Black w/ Brown - Asymmetric,c-sh-g09,Shawls|||||||||,100% Polyester.,,,,1,,1,12,,0,,0,1,c-sh-g09(3)-WEB.jpg
Shawl - Orange Leopard,c-sh-g01o,Shawls|||||||||,100% Polyester.,,,,1,,1,12,,0,,0,1,No image.
Shawl - Purple Cheetah,c-sh-g05p,Shawls|||||||||,100% Polyester.,,,,1,,1,12,,0,,0,1,c-sh-g05p(3)-web.jpg
Shawl - White On Black Paisley,c-sh-g04w,Shawls|||||||||,100% Polyester.,,,,1,,1,12,,0,,0,1,c-sh-g04w#3-WEB.jpg
Silver & Clear Stone Flower - N/E Set,p-n-a007w,Necklace Earring Sets|||||||||,Silver & Clear Stone Flower Necklace/Earring Set.<br />Lead and nickel free.<br />Adjustable lobster clasp/chain closure.,,,,1,,1,11,,0,,0,1,p-n-a007w-web.jpg
Silver Crystal AB Ball Post Earring - 6mm - 32 Pair Set,s-e-setp45ab,Earrings|||||||||,Sold in 32 pair set on plexi display.</br>Sold in assorted colors.,,,,1,,1,152,,0,,0,1,s-e-setp45ab-web.jpg
Silver Crystal AB Ball Post Earring - 6mm - 36 Pair Set,s-e-setp45ab/36,Earrings|||||||||,,,,,1,,1,144,,0,,0,1,s-e-setp45ab36-web.jpg
Silver Crystal Ball Earring - 6mm - 32 pair set,s-e-setp45,Earrings|||||||||,Sold in 32 pair set on plexi display.</br>Sold in assorted colors.,,,,1,,1,144,,0,,0,1,s-e-setp45-web.jpg
Silver Crystal Ball Earring - 8mm - 36 pair set,s-e-setp46/36,Earrings|||||||||,,,,,1,,1,180,,0,,0,1,s-e-setp46/36-web.jpg
Silver Hammered N/E Set,p-n-i032,Necklace Earring Sets|||||||||,,,,,1,,1,9,,0,,0,1,p-n-i032-web.jpg
Silver Inlay On Cord N/E Set,p-n-i038,Necklace Earring Sets|||||||||,,,,,1,,1,5,,0,,0,1,p-n-i038-WEB.jpg
Silver Swirl w/ Black Diamond - N/E Set,p-n-a011b,Necklace Earring Sets|||||||||,,,,,1,,1,12,,0,,0,1,p-n-a011b-WEB.jpg
