PD_Home_&_Garden_8055.xls,[u'Currently In Stock']
Flameless_Candles_8013.xls,[u'']
Black_Crow_Candles_7990.xls,[u'']
Albert_Estate_LTD_8045.xls,"[u'', u'(All) Products|Table Lamps|New additions|Sale']"
Homespice_Décor_7894.xls,"[u'', u'Out of stock', u'In stock']"
Home_Collections_by_Raghu_Closeouts_8050.xls,[u'In stock while supply lasts']
Valley Wholesale Products.xls,[u'']
Raggedy_Junction_8034.xls,[u'']
A_Homestead_Shoppe_7980.xls,[u'']
Honey_House_Naturals_7986.xls,[u'']
Frog_on_a_Limb_Primitives_Soy_Candles_8105.xls,"[u'', u'Long lasting all natural \nRoom spray\n']"
Papas_Candle_Shoppe_8077.xls,[u'']
Cake_and_Shake_Highly_Scented_Handcrafted_Potpourri_8095.xls,[u'']
Blossom_Bucket_7929.xls,[u'']
Wing_Tai_Trading_7900.xls,"[u'In stock', u'Out of stock']"
Lambright_Country_Chimes_8082.xls,[u'']
Red_Horse_Signs_7942.xls,"[u'Price is sign as shown (Custom Word or Name Changes for $10)', u'', u'Price is for order as shown (add custom changes for $10 extra charge)']"
GAR_Wholesale_Inc._8069.xls,[u'']
Audrey's_Closeouts_and_Sale_8064.xls,[u'']
Passport_Candles_7972.xls,[u'']
Benson_Country_Packaging_7912.xls,[u'']
Beyond_Borders_7969.xls,[u'']
California_Home_and_Garden_8083.xls,[u'']
Debry_Jewelry_7886.xls,"[u'', u'Out of stock']"
Delton_Products_Closeouts_8038.xls,"[u'-29% OFF Saving', u'-30% OFF Saving', u'-31% OFF Saving', u'-28% OFF Saving', u'-23% OFF Saving', u'-27% OFF Saving', u'-32% OFF Saving', u'-37% OFF Saving', u'-36% OFF Saving', u'-33% OFF Saving', u'-25% OFF Saving', u'-24% OFF Saving', u'-44% OFF Saving', u'-35% OFF Saving', u'-17% OFF Saving', u'-34% OFF Saving', u'-47% OFF Saving', u'-22% OFF Saving', u'-26% OFF Saving', u'-20% OFF Saving']"
Raine_&_Humble_8113.xls,[u'']
The_Country_House_Closeouts_7927.xls,[u'']
Northlight_Seasonal_8016.xls,[u'']
Carson_Home_Accents_Closeouts_8008.xls,[u'']
Hip_Signs_for_Cool_Folks_7874.xls,[u'']
The_Essential_Goodness_8108.xls,[u'']
Simply_Vintage_Soy_Candles_8017.xls,"[u'', u' ']"
Bumblin_Bee_8109.xls,[u'']
Paine_Products_Inc_8103.xls,"[u'', u'This is a refill box and does NOT have a holder']"
Honey_&_Me_8100.xls,"[u'Out of stock', u'In stock']"
Maine_Wooden_Bouys_8085.xls,"[u'', u'For Color Image is shown as Buoy but this will come as Large Centerpiece - Flat Bottom', u'For Color Image is shown as Centerpiece but this will come as small Buoy', u'For Color Image is shown as Buoy but this will come as Small Centerpiece - Flat Bottom']"
Brazos_Walking_Sticks_7976.xls,[u'']
Miller_Decor_7949.xls,"[u'', u'in stock', u'Pallet signs']"
Primitives_by_Kathy_50%_Off_Closeouts_8065.xls,"[u'In stock', u'']"
A_Primitive_Glow_1340.xls,"[u'Currently in stock', u'', u'Available only in Snow Cr\xe8me Scent - Currently in stock']"
Mullberry_Home_Wholesale_8068.xls,"[u'', u'(ALL) Mullberry Products|Floral & Trees', u'(ALL) Mullberry Products|Home Accents|Small Home Decor']"
Surf's_Up_Candles_8051.xls,[u'']
Jones'_Rustic_Signs_7979.xls,"[u'', u""Type in teacher's name."", u'Fill in Location (max - 12 characters)', u'Type in your name', u'Type in two letter state abbreviation.', u'Type In Custom Saying - Up to 11 letters. (do not count spaces or commas).', u""Type in recipient's name, address then your name and message inside the text box."", u'Type in your name.']"
Capabunga_Wine_Products_7968.xls,"[u'', u'(All) Capabunga Products|Corkscrew']"
Colorful_Garden_Flags_8033.xls,[u'']
JJ_Potts_Garden_7864.xls,[u'']
